1,Versatile,Common,WIP,,,,,
2,Enthusiast,Common,WIP,,,,,
3,GearHead,Common,WIP,,,,,
4,GreenThumb,Common,WIP,,,,,
5,Botanist,Common,WIP,,,,,
6,Coward,Common,WIP,,,,,
7,Loner,Common,WIP,,,,,
8,Social,Common,WIP,,,,,
9,Naiive,Common,WIP,,,,,
10,Skeptical,Common,WIP,,,,,
11,Paranoid,Common,WIP,,,,,
12,Engineer,Uncommon,WIP,,,,,
13,Botanist,Uncommon,WIP,,,,,
14,Disciplined,Uncommon,WIP,,,,,
15,Engineer,Uncommon,WIP,,,,,
16,Botanist,Uncommon,WIP,,,,,
17,Disciplined,Uncommon,WIP,,,,,
18,Haggler,Uncommon,WIP,,,,,
19,Vigilant,Uncommon,WIP,,,,,
20,Negotiator,Uncommon,WIP,,,,,
21,Extortionist,Uncommon,WIP,,,,,
22,Hacker,Uncommon,WIP,,,,,
23,Smuggler,Uncommon,WIP,,,,,
24,Resolute,Uncommon,WIP,,,,,
25,Jaded,Uncommon,WIP,,,,,
26,Convict,Uncommon,WIP,,,,,
27,Loyal,Rare,WIP,,,,,
28,Photosynthesis,Rare,WIP,,,,,
29,Anaerobic ,Rare,WIP,,,,,
30,Aphonic ,Rare,WIP,,,,,
31,Anomaly ,Rare,WIP,,,,,
32,Unstable Continuum,Rare,WIP,,,,,
33,High profile,Rare,WIP,,,,,
